"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
43,"Youden",-1.63101374575,1.47895189,1,FALSE,0.739854804971084,0.675624461670973,0.0642303433001108
43,"Distance",-1.63101374575,2.058848797,1,FALSE,0.715491571305525,0.67525532176695,0.0402362495385751
44,"Youden",-0.07817869415,0.858247423,2,FALSE,0.696911529469669,0.680669373692629,0.0162421557770395
44,"Distance",-1.4742268041,1.47895189,1,FALSE,0.669988925802879,0.675279931093885,-0.00529100529100535
45,"Youden",-1.220790378,2.681701031,1,FALSE,0.696788482834995,0.650227636274148,0.0465608465608466
45,"Distance",-1.220790378,2.681701031,1,FALSE,0.696788482834995,0.650227636274148,0.0465608465608466
46,"Youden",-0.07817869415,0.6112542955,2,FALSE,0.689504122062262,0.681038513596653,0.00846560846560851
46,"Distance",-1.4742268041,2.058848797,1,FALSE,0.630490956072351,0.674910791189861,-0.0444198351175096
47,"Youden",-1.56872852235,2.829896907,1,FALSE,0.719675156884459,0.635388212132398,0.084286944752061
47,"Distance",-1.56872852235,2.829896907,1,FALSE,0.719675156884459,0.635388212132398,0.084286944752061
48,"Youden",-1.4742268041,0.806701031,1,FALSE,0.729961855543251,0.691522086870924,0.0384397686723268
48,"Distance",-1.4742268041,2.6323024055,1,FALSE,0.72885443583118,0.658668635412822,0.0701858004183585
49,"Youden",-0.01804123695,0.858247423,1,FALSE,0.695434969853574,0.672917435708133,0.0225175341454411
49,"Distance",-1.27448453605,0.858247423,1,FALSE,0.653057708871662,0.675673680324843,-0.0226159714531807
50,"Youden",-1.63101374575,2.675257732,1,FALSE,0.674147902054879,0.65901316598991,0.0151347360649685
50,"Distance",-1.63101374575,2.675257732,1,FALSE,0.674147902054879,0.65901316598991,0.0151347360649685
51,"Youden",-1.4742268041,1.219072165,1,FALSE,0.745859480743202,0.683401008982404,0.0624584717607973
51,"Distance",-1.4742268041,3.0382302405,1,FALSE,0.744013781223083,0.634674541651286,0.109339239571798
52,"Youden",-1.4742268041,2.056701031,1,FALSE,0.760625076904147,0.674910791189861,0.0857142857142857
52,"Distance",-1.4742268041,2.5206185565,1,FALSE,0.760255937000123,0.666789713301341,0.0934662236987819
53,"Youden",-0.84922680415,0.609106529,2,FALSE,0.751199704688077,0.682416635905008,0.0687830687830687
